sr,Model,Specifications,Processor,RAM,Storage,version,graphics card,Name,Cprice
561,Lenovo IdeaPad Slim 3 82XQ0096IN Laptop (AMD Ryzen 5 7520U/ 16GB/ 512GB SSD/ Win11 Home),AMD Ryzen 5 7520U/ 16GB/ 512GB SSD/ Win11 Home,AMD Ryzen 5 7520U,16GB,512GB SSD,Win11 Home,,Lenovo IdeaPad Slim 3 82XQ0096IN Laptop,
562,Lenovo V15 G3 IAP 82TT004VIH Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ DOS),12th Gen Core i5/ 8GB/ 512GB SSD/ DOS,12th Gen Core i5,8GB,512GB SSD,DOS,,Lenovo V15 G3 IAP 82TT004VIH Laptop,
563,Asus Vivobook 14X OLED 2023 K3405VCB-KM951WS Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11/4 GB Graphics),13th Gen Core i9/ 16GB/ 1TB SSD/ Win11/4 GB Graphics,13th Gen Core i9,16GB,1TB SSD,Win11,4 GB Graphics,Asus Vivobook 14X OLED 2023 K3405VCB-KM951WS Laptop,
564,Asus Vivobook 16X K3605ZC-MBN541WS Laptop (12th Gen Core i5/ 16 GB RAM/ 512 GB SSD/ Win 11/ 4 GB Graphics),12th Gen Core i5/ 16 GB RAM/ 512 GB SSD/ Win 11/ 4 GB Graphics,12th Gen Core i5,16 GB RAM,512 GB SSD,Win 11,4 GB Graphics,Asus Vivobook 16X K3605ZC-MBN541WS Laptop,
565,Asus Vivobook 16X K3605ZC-MBN542WS Laptop (12th Gen Core i5/ 16 GB RAM/ 512 GB SSD/ Win 11/ 4 GB Graphics),12th Gen Core i5/ 16 GB RAM/ 512 GB SSD/ Win 11/ 4 GB Graphics,12th Gen Core i5,16 GB RAM,512 GB SSD,Win 11,4 GB Graphics,Asus Vivobook 16X K3605ZC-MBN542WS Laptop,
566,Asus Vivobook 16X K3605ZU-MBN541WS Laptop (12th Gen Core i5/ 16 GB RAM/ 512 GB SSD/ Win 11/ 6GB Graphics),12th Gen Core i5/ 16 GB RAM/ 512 GB SSD/ Win 11/ 6GB Graphics,12th Gen Core i5,16 GB RAM,512 GB SSD,Win 11,6GB Graphics,Asus Vivobook 16X K3605ZU-MBN541WS Laptop,
567,Asus Vivobook 14X K3405ZF-LY541WS Laptop (12th Gen Core i5/ 16 GB RAM/ 512 GB SSD/ Win 11/ 4 GB Graphics),12th Gen Core i5/ 16 GB RAM/ 512 GB SSD/ Win 11/ 4 GB Graphics,12th Gen Core i5,16 GB RAM,512 GB SSD,Win 11,4 GB Graphics,Asus Vivobook 14X K3405ZF-LY541WS Laptop,
568,MSI Thin GF63 11UC-1291IN Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph,11th Gen Core i5,16GB,512GB SSD,Win11 Home,4GB Graph,MSI Thin GF63 11UC-1291IN Gaming Laptop,
569,MSI Katana 15 B12UDXK-1004IN Gaming Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph,12th Gen Core i7,16GB,512GB SSD,Win11 Home,6GB Graph,MSI Katana 15 B12UDXK-1004IN Gaming Laptop,
570,Asus Vivobook Pro 15 OLED M6500QC-LK541WS Laptop (Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph,Ryzen 5 5600H,16GB,512GB SSD,Win11,4GB Graph,Asus Vivobook Pro 15 OLED M6500QC-LK541WS Laptop,
571,Acer TMP214-41-G3 UN.VSQSI.006 Notebook (AMD Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11 Home),AMD Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11 Home,AMD Ryzen 5 5500U,8GB,512GB SSD,Win11 Home,,Acer TMP214-41-G3 UN.VSQSI.006 Notebook,
572,Asus Vivobook Go 14 2023 E1404FA-NK327WS Laptop (Ryzen 3 7320U / 8GB/ 512GB SSD/ Win11 Home),Ryzen 3 7320U / 8GB/ 512GB SSD/ Win11 Home,Ryzen 3 7320U,8GB,512GB SSD,Win11 Home,,Asus Vivobook Go 14 2023 E1404FA-NK327WS Laptop,
573,HP Victus 15-fa0187TX Gaming Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),12th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 4GB Graph,12th Gen Core i7,16GB,1TB SSD,Win11,4GB Graph,HP Victus 15-fa0187TX Gaming Laptop,
574,Acer TMP214-41-G3 UN.VSQSI.007 Notebook (AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11 Home),AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11 Home,AMD Ryzen 5 5500U,16GB,512GB SSD,Win11 Home,,Acer TMP214-41-G3 UN.VSQSI.007 Notebook,
575,Asus VivoBook 15 X1504ZA-NJ326WS Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home,12th Gen Core i3,8GB,512GB SSD,Win11 Home,,Asus VivoBook 15 X1504ZA-NJ326WS Laptop,
576,HP Victus15-fb0147AX Gaming Laptop (Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph,Ryzen 5 5600H,8GB,512GB SSD,Win11 Home,4GB Graph,HP Victus15-fb0147AX Gaming Laptop,
577,Dell Vostro 3520 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),11th Gen Core i3/ 8GB/ 512GB SSD/ Win11,11th Gen Core i3,8GB,512GB SSD,Win11,,Dell Vostro 3520 Laptop,
578,Dell Inspiron 5430 IN54308DXWP001ORS1 Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11),13th Gen Core i7/ 16GB/ 1TB SSD/ Win11,13th Gen Core i7,16GB,1TB SSD,Win11,,Dell Inspiron 5430 IN54308DXWP001ORS1 Laptop,
579,Lenovo IdeaPad 3 82KU024JIN Laptop (AMD Ryzen 7 5700U/ 16GB/ 512GB SSD/ Win11 Home),AMD Ryzen 7 5700U/ 16GB/ 512GB SSD/ Win11 Home,AMD Ryzen 7 5700U,16GB,512GB SSD,Win11 Home,,Lenovo IdeaPad 3 82KU024JIN Laptop,
