sr,Model,Specifications,Processor,RAM,Storage,version,graphics card,Name,Cprice
688,Lenovo Yoga 6 83B2005TIN Laptop (AMD Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11 Home),AMD Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11 Home,AMD Ryzen 5 7530U,16GB,512GB SSD,Win11 Home,,Lenovo Yoga 6 83B2005TIN Laptop,
689,HP 15s-fy5005TU Laptop (12th Gen Core i3/ 8GB/ 1TB SSD/ Win11 Home),12th Gen Core i3/ 8GB/ 1TB SSD/ Win11 Home,12th Gen Core i3,8GB,1TB SSD,Win11 Home,,HP 15s-fy5005TU Laptop,
690,LG Gram 14 2023 ??14Z90R-G.CH54A2 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),13th Gen Core i5/ 16GB/ 512GB SSD/ Win11,13th Gen Core i5,16GB,512GB SSD,Win11,,LG Gram 14 2023 ??14Z90R-G.CH54A2 Laptop,
691,Asus ROG Zephyrus G16 2023 GU603ZU-N3023WS Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 6GB Graph),12th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 6GB Graph,12th Gen Core i7,16GB,1TB SSD,Win11 Home,6GB Graph,Asus ROG Zephyrus G16 2023 GU603ZU-N3023WS Laptop,
692,Acer Aspire 5 A515-58M Gaming Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graphic),13th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graphic,13th Gen Core i5,8GB,512GB SSD,Win11 Home,4GB Graphic,Acer Aspire 5 A515-58M Gaming Laptop,
693,Dell Alienware m16 Gaming Laptop (AMD Ryzen 9 7845HX/ 32GB/ 2TB SSD/ Win 11/ 12GB Graph),AMD Ryzen 9 7845HX/ 32GB/ 2TB SSD/ Win 11/ 12GB Graph,AMD Ryzen 9 7845HX,32GB,2TB SSD,Win 11,12GB Graph,Dell Alienware m16 Gaming Laptop,
694,Acer Nitro 16 ?AN16-41 Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11 Home/ 8GB Graph),AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11 Home/ 8GB Graph,AMD Ryzen 7 7840HS,16GB,512GB SSD,Win11 Home,8GB Graph,Acer Nitro 16 ?AN16-41 Gaming Laptop,
695,Asus TUF Gaming F17 FX707ZC4-HX067W Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph,12th Gen Core i5,16GB,512GB SSD,Win11,4GB Graph,Asus TUF Gaming F17 FX707ZC4-HX067W Gaming Laptop,
696,HP 15s-fy5004TU Laptop (12th Gen Core i3/ 16GB/ 512GB SSD/ Win11 Home),12th Gen Core i3/ 16GB/ 512GB SSD/ Win11 Home,12th Gen Core i3,16GB,512GB SSD,Win11 Home,,HP 15s-fy5004TU Laptop,
697,Asus Vivobook 16X 2023 K3605ZF-MBN741WS Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph,12th Gen Core i7,16GB,512GB SSD,Win11 Home,4GB Graph,Asus Vivobook 16X 2023 K3605ZF-MBN741WS Laptop,
698,Lenovo IdeaPad Slim 3 82XQ008GIN Laptop (AMD Ryzen 5 7520U/ 8GB/ 512GB SSD/ Win11),AMD Ryzen 5 7520U/ 8GB/ 512GB SSD/ Win11,AMD Ryzen 5 7520U,8GB,512GB SSD,Win11,,Lenovo IdeaPad Slim 3 82XQ008GIN Laptop,
699,Asus Vivobook 14X K3405ZFB-KM752WS Laptop (12th Gen Core i7 /16GB/ 1TB SSD/Win11/ 4GB Graphic),12th Gen Core i7 /16GB/ 1TB SSD/Win11/ 4GB Graphic,12th Gen Core i7,16GB,1TB SSD,Win11,4GB Graphic,Asus Vivobook 14X K3405ZFB-KM752WS Laptop,
700,Lenovo IdeaPad Flex 5 82XX007KIN Laptop (AMD Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11 Home),AMD Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11 Home,AMD Ryzen 5 7530U,16GB,512GB SSD,Win11 Home,,Lenovo IdeaPad Flex 5 82XX007KIN Laptop,
701,Asus Vivobook Pro 15 M6500QC-LK542WS Laptop (AMD R5 5600H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),AMD R5 5600H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph,AMD R5 5600H,16GB,512GB SSD,Win11,4GB Graph,Asus Vivobook Pro 15 M6500QC-LK542WS Laptop,
702,Acer Aspire Lite AL15-51 2023 Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11),11th Gen Core i5/ 16GB/ 512GB SSD/ Win11,11th Gen Core i5,16GB,512GB SSD,Win11,,Acer Aspire Lite AL15-51 2023 Laptop,
703,HP ZBook Firefly 16 G9 2023 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),12th Gen Core i5/ 16GB/ 512GB SSD/ Win11,12th Gen Core i5,16GB,512GB SSD,Win11,,HP ZBook Firefly 16 G9 2023 Laptop,
704,Acer Aspire Lite 2023 AL15-51 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11),11th Gen Core i5/ 8GB/ 512GB SSD/ Win11,11th Gen Core i5,8GB,512GB SSD,Win11,,Acer Aspire Lite 2023 AL15-51 Laptop,
705,Fujitsu UH-X ?4ZR1L12856 Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),13th Gen Core i7/ 16GB/ 512GB SSD/ Win11,13th Gen Core i7,16GB,512GB SSD,Win11,,Fujitsu UH-X ?4ZR1L12856 Laptop,
706,Asus Vivobook Pro 15 M6500QC-LK742WS Laptop (Ryzen 7 5800H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),Ryzen 7 5800H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph,Ryzen 7 5800H,16GB,512GB SSD,Win11,4GB Graph,Asus Vivobook Pro 15 M6500QC-LK742WS Laptop,
707,HP ZBook Firefly 14 G9 2023 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),12th Gen Core i5/ 16GB/ 512GB SSD/ Win11,12th Gen Core i5,16GB,512GB SSD,Win11,,HP ZBook Firefly 14 G9 2023 Laptop,
708,HP ZBook Firefly 16 G9 2023 Workstation PC Laptop (12th Gen Core i5/ 16GB/ 1TB SSD/ Win11/ 4GB Graphics),12th Gen Core i5/ 16GB/ 1TB SSD/ Win11/ 4GB Graphics,12th Gen Core i5,16GB,1TB SSD,Win11,4GB Graphics,HP ZBook Firefly 16 G9 2023 Workstation PC Laptop,
709,HP ZBook Studio G9 WUXGA 16 Workstation Laptop (12th Gen Core i9/ 32GB/ 1TB SSD/ Win11/ 16GB Graph),12th Gen Core i9/ 32GB/ 1TB SSD/ Win11/ 16GB Graph,12th Gen Core i9,32GB,1TB SSD,Win11,16GB Graph,HP ZBook Studio G9 WUXGA 16 Workstation Laptop,
710,HP ZBook Studio G9 16 Workstation WQUXGA Laptop (12th Gen Core i9/ 32GB/ 1TB SSD/ Win11/ 6GB Graph),12th Gen Core i9/ 32GB/ 1TB SSD/ Win11/ 6GB Graph,12th Gen Core i9,32GB,1TB SSD,Win11,6GB Graph,HP ZBook Studio G9 16 Workstation WQUXGA Laptop,
711,HP ZBook Firefly 14 G9 WUXGA Laptop (12th Gen Core i5/ 16GB/ 1TB SSD/ Win11 ),12th Gen Core i5/ 16GB/ 1TB SSD/ Win11 ,12th Gen Core i5,16GB,1TB SSD,Win11,,HP ZBook Firefly 14 G9 WUXGA Laptop,
712,HP ZBook Firefly 14 G9 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 ),12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 ,12th Gen Core i5,16GB,512GB SSD,Win11,,HP ZBook Firefly 14 G9 Laptop,
713,HP ZBook Studio G9 WUXGA Workstation Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),12th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 8GB Graph,12th Gen Core i7,16GB,1TB SSD,Win11,8GB Graph,HP ZBook Studio G9 WUXGA Workstation Laptop,
714,HP ZBook Studio G9 2023 Workstation WQUXGA Laptop (12th Gen Core i9/ 32GB/ 1TB SSD/ Win11/ 12GB Graph),12th Gen Core i9/ 32GB/ 1TB SSD/ Win11/ 12GB Graph,12th Gen Core i9,32GB,1TB SSD,Win11,12GB Graph,HP ZBook Studio G9 2023 Workstation WQUXGA Laptop,
715,HP 15s-fq3073TU Laptop Intel Pentium Silver N6000/ 8GB/ 512GB SSD/ Win11 Home),#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,HP 15s-fq3073TU Laptop Intel Pentium Silver N6000/ 8GB/ 512GB SSD/ Win11 Home),
716,HP ZBook Studio G9 Workstation WQUXGA Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),12th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 6GB Graph,12th Gen Core i7,16GB,1TB SSD,Win11,6GB Graph,HP ZBook Studio G9 Workstation WQUXGA Laptop,
717,LG UltraPC 16 ?16U70R-G.AH56A2 Laptop (AMD Ryzen5-7530U/ 16GB/ 512GB SSD/ Win11),AMD Ryzen5-7530U/ 16GB/ 512GB SSD/ Win11,AMD Ryzen5-7530U,16GB,512GB SSD,Win11,,LG UltraPC 16 ?16U70R-G.AH56A2 Laptop,
718,LG Gram 14 2023 ?14Z90R-G.CH75A2 Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),13th Gen Core i7/ 16GB/ 512GB SSD/ Win11,13th Gen Core i7,16GB,512GB SSD,Win11,,LG Gram 14 2023 ?14Z90R-G.CH75A2 Laptop,
719,HP ZBook Studio G9 Workstation Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),12th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 8GB Graph,12th Gen Core i7,16GB,1TB SSD,Win11,8GB Graph,HP ZBook Studio G9 Workstation Laptop,
720,Lenovo IdeaPad 1 82V6005CIN Laptop (Celeron N4020/ 4GB/ 256GB SSD/ Win11 Home),Celeron N4020/ 4GB/ 256GB SSD/ Win11 Home,Celeron N4020,4GB,256GB SSD,Win11 Home,,Lenovo IdeaPad 1 82V6005CIN Laptop,
721,Acer Nitro 5 AN515-58 UN.QFHSI.026 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph,12th Gen Core i5,16GB,512GB SSD,Win11,4GB Graph,Acer Nitro 5 AN515-58 UN.QFHSI.026 Gaming Laptop,
722,Asus Vivobook 16X 2023 K3605ZV-MB741WS Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 8GB Graph),12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 8GB Graph,12th Gen Core i7,16GB,512GB SSD,Win11 Home,8GB Graph,Asus Vivobook 16X 2023 K3605ZV-MB741WS Laptop,
723,Asus ROG Zephyrus G14 GA402NJ-L8094WS Gaming Laptop (AMD Ryzen 7 7735HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),AMD Ryzen 7 7735HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph,AMD Ryzen 7 7735HS,16GB,512GB SSD,Win11,6GB Graph,Asus ROG Zephyrus G14 GA402NJ-L8094WS Gaming Laptop,
724,LG gram360 16 Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11),13th Gen Core i7/ 16GB/ 1TB SSD/ Win11,13th Gen Core i7,16GB,1TB SSD,Win11,,LG gram360 16 Laptop,
725,Dell Inspiron 14 5430 2023 Laptop (13th Gen Core i5/ 8GB/ 1TB SSD/ Win11),13th Gen Core i5/ 8GB/ 1TB SSD/ Win11,13th Gen Core i5,8GB,1TB SSD,Win11,,Dell Inspiron 14 5430 2023 Laptop,
726,HP 255 G8 6E3Z0PA Laptop (Ryzen 3 3250U/ 8GB/512GB SSD/ Dos),Ryzen 3 3250U/ 8GB/512GB SSD/ Dos,Ryzen 3 3250U,8GB,512GB SSD,Dos,,HP 255 G8 6E3Z0PA Laptop,
727,Asus Vivobook 15 2023 X1504VA-NJ544WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),13th Gen Core i5/ 16GB/ 512GB SSD/ Win11,13th Gen Core i5,16GB,512GB SSD,Win11,,Asus Vivobook 15 2023 X1504VA-NJ544WS Laptop,
728,Dell Vostro 5630 IN5630P8YRR001ORS1 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),13th Gen Core i5/ 16GB/ 512GB SSD/ Win11,13th Gen Core i5,16GB,512GB SSD,Win11,,Dell Vostro 5630 IN5630P8YRR001ORS1 Laptop,
729,Dell Inspiron 2023 14 5430 Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11),13th Gen Core i5/ 16GB/ 1TB SSD/ Win11,13th Gen Core i5,16GB,1TB SSD,Win11,,Dell Inspiron 2023 14 5430 Laptop,
730,Dell Inspiron 5430 Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11),13th Gen Core i7/ 16GB/ 1TB SSD/ Win11,13th Gen Core i7,16GB,1TB SSD,Win11,,Dell Inspiron 5430 Laptop,
731,Infinix Zerobook 13 ZL513 2023 Laptop (13th Gen Core i7/ 32GB/ 1TB SSD/ Win 11 Home),13th Gen Core i7/ 32GB/ 1TB SSD/ Win 11 Home,13th Gen Core i7,32GB,1TB SSD,Win 11 Home,,Infinix Zerobook 13 ZL513 2023 Laptop,
732,Lenovo S14 Gen 3 82TW001CIH Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),12th Gen Core i5/ 8GB/ 512GB SSD/ Win11,12th Gen Core i5,8GB,512GB SSD,Win11,,Lenovo S14 Gen 3 82TW001CIH Laptop,
733,MSI Katana GF66 12UCOK 2023 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph,12th Gen Core i5,16GB,512GB SSD,Win11 Home,4GB Graph,MSI Katana GF66 12UCOK 2023 Gaming Laptop,
734,Lenovo ThinkPad E14 21JRS00Y00 Laptop (AMD Ryzen 3 7330U/ 8GB/ 512GB SSD/ Win11 Home),AMD Ryzen 3 7330U/ 8GB/ 512GB SSD/ Win11 Home,AMD Ryzen 3 7330U,8GB,512GB SSD,Win11 Home,,Lenovo ThinkPad E14 21JRS00Y00 Laptop,
735,Lenovo IdeaPad Gaming 3 82K101LHIN Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph,11th Gen Core i5,16GB,512GB SSD,Win11 Home,4GB Graph,Lenovo IdeaPad Gaming 3 82K101LHIN Laptop,
736,MSI Thin GF63 11SC-1477IN Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph,11th Gen Core i5,8GB,512GB SSD,Win11 Home,4GB Graph,MSI Thin GF63 11SC-1477IN Gaming Laptop,
737,Lenovo ThinkBook 15 21JF002CIN Laptop (AMD Ryzen 3 7330U/ 8 GB/ 512 GB SSD/ DOS),AMD Ryzen 3 7330U/ 8 GB/ 512 GB SSD/ DOS,AMD Ryzen 3 7330U,8 GB,512 GB SSD,DOS,,Lenovo ThinkBook 15 21JF002CIN Laptop,
738,Lenovo ThinkPad T14 Gen 2 20W0S16Q00 Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Pro/ 2GB Graph),11th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Pro/ 2GB Graph,11th Gen Core i7,16GB,512GB SSD,Win11 Pro,2GB Graph,Lenovo ThinkPad T14 Gen 2 20W0S16Q00 Laptop,
739,Lenovo IdeaPad Gaming 3 15ACH6 82K2022YIN Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph,AMD Ryzen 5 5600H,8GB,512GB SSD,Win11 Home,4GB Graph,Lenovo IdeaPad Gaming 3 15ACH6 82K2022YIN Laptop,
740,Lenovo ThinkPad E14 21JRS00T00 Laptop (AMD Ryzen 5 7530U/ 8GB/ 512GB SSD/ Win11 Home),AMD Ryzen 5 7530U/ 8GB/ 512GB SSD/ Win11 Home,AMD Ryzen 5 7530U,8GB,512GB SSD,Win11 Home,,Lenovo ThinkPad E14 21JRS00T00 Laptop,
741,Asus Vivobook 15 2023 X1504VA-NJ543WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),13th Gen Core i5/ 16GB/ 512GB SSD/ Win11,13th Gen Core i5,16GB,512GB SSD,Win11,,Asus Vivobook 15 2023 X1504VA-NJ543WS Laptop,
742,Lenovo IdeaPad 1 14IGL7 82V6005EIN Laptop (Celeron Dual Core/ 8GB/ 256GB SSD/ Win11 Home),Celeron Dual Core/ 8GB/ 256GB SSD/ Win11 Home,Celeron Dual Core,8GB,256GB SSD,Win11 Home,,Lenovo IdeaPad 1 14IGL7 82V6005EIN Laptop,
743,Asus Vivobook 15 OLED 2023 X1505VAU-LK543WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home,13th Gen Core i5,16GB,512GB SSD,Win11 Home,,Asus Vivobook 15 OLED 2023 X1505VAU-LK543WS Laptop,
744,HP Envy x360 15-fh0015AU Laptop (AMD Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11 Home),AMD Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11 Home,AMD Ryzen 5 7530U,16GB,512GB SSD,Win11 Home,,HP Envy x360 15-fh0015AU Laptop,
745,Lenovo IdeaPad Slim 3 2023 82X70033IN Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11),13th Gen Core i3/ 8GB/ 512GB SSD/ Win11,13th Gen Core i3,8GB,512GB SSD,Win11,,Lenovo IdeaPad Slim 3 2023 82X70033IN Laptop,
746,HP Envy x360 15-fe0027TU Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home,13th Gen Core i5,16GB,512GB SSD,Win11 Home,,HP Envy x360 15-fe0027TU Laptop,
747,HP Envy x360 15-fe0028TU Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home,13th Gen Core i5,16GB,512GB SSD,Win11 Home,,HP Envy x360 15-fe0028TU Laptop,
748,HP Envy x360 15-fh0016AU Laptop (AMD Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11 Home),AMD Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11 Home,AMD Ryzen 5 7530U,16GB,512GB SSD,Win11 Home,,HP Envy x360 15-fh0016AU Laptop,
749,HP Envy x360 15-fh0019AU Laptop (AMD Ryzen 7 7730U/ 16GB/ 512GB SSD/ Win11 Home),AMD Ryzen 7 7730U/ 16GB/ 512GB SSD/ Win11 Home,AMD Ryzen 7 7730U,16GB,512GB SSD,Win11 Home,,HP Envy x360 15-fh0019AU Laptop,
750,Acer Aspire Lite AL15-51 Laptop (11th Gen Core i3/ 8GB/ 256GB SSD/ Win11),11th Gen Core i3/ 8GB/ 256GB SSD/ Win11,11th Gen Core i3,8GB,256GB SSD,Win11,,Acer Aspire Lite AL15-51 Laptop,
751,HP 14-em0027AU Laptop (AMD Ryzen 5 7520U/ 16GB/ 512GB SSD/ Win11 Home),AMD Ryzen 5 7520U/ 16GB/ 512GB SSD/ Win11 Home,AMD Ryzen 5 7520U,16GB,512GB SSD,Win11 Home,,HP 14-em0027AU Laptop,
752,Asus Vivobook 15 X1502ZA-EJ523WS Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),12th Gen Core i5/ 8GB/ 512GB SSD/ Win11,12th Gen Core i5,8GB,512GB SSD,Win11,,Asus Vivobook 15 X1502ZA-EJ523WS Laptop,
753,HP Envy x360 15-ew0041TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),12th Gen Core i5/ 16GB/ 512GB SSD/ Win11,12th Gen Core i5,16GB,512GB SSD,Win11,,HP Envy x360 15-ew0041TU Laptop,
754,Dell Inspiron 7430 2 in 1 Laptop (13th Gen Core i3/ 8GB/ 1TB SSD/ Win11),13th Gen Core i3/ 8GB/ 1TB SSD/ Win11,13th Gen Core i3,8GB,1TB SSD,Win11,,Dell Inspiron 7430 2 in 1 Laptop,
755,HP 14-em0025AU Laptop (AMD Ryzen  3 7320U/ 8GB/ 512GB SSD/ Win11 Home),AMD Ryzen  3 7320U/ 8GB/ 512GB SSD/ Win11 Home,AMD Ryzen 3 7320U,8GB,512GB SSD,Win11 Home,,HP 14-em0025AU Laptop,
756,HP Pavilion Plus ?14-eh1047TU Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win 11),13th Gen Core i7/ 16GB/ 512GB SSD/ Win 11,13th Gen Core i7,16GB,512GB SSD,Win 11,,HP Pavilion Plus ?14-eh1047TU Laptop,
757,Asus Vivobook 14X K3405ZFB-KM541WS Laptop (12th Gen Core i5 /16GB/512GB SSD/Win11),12th Gen Core i5 /16GB/512GB SSD/Win11,12th Gen Core i5,16GB,512GB SSD,Win11,,Asus Vivobook 14X K3405ZFB-KM541WS Laptop,
758,Lenovo Thinkbook 15 21DJ00EXIH Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home,12th Gen Core i5,8GB,512GB SSD,Win11 Home,,Lenovo Thinkbook 15 21DJ00EXIH Laptop,
759,Lenovo Thinkpad E15 21E6S05B00 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home,12th Gen Core i5,8GB,512GB SSD,Win11 Home,,Lenovo Thinkpad E15 21E6S05B00 Laptop,
760,Lenovo ThinkPad E14 21JRS00U00 Laptop (AMD Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11 Home),AMD Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11 Home,AMD Ryzen 5 7530U,16GB,512GB SSD,Win11 Home,,Lenovo ThinkPad E14 21JRS00U00 Laptop,
761,Lenovo IdeaPad Gaming 3 82K2025LIN Laptop (AMD Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),AMD Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph,AMD Ryzen 5 5600H,16GB,512GB SSD,Win11 Home,4GB Graph,Lenovo IdeaPad Gaming 3 82K2025LIN Laptop,
762,Acer Aspire Lite AL15-51 UN.431SI.252 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),11th Gen Core i3/ 8GB/ 512GB SSD/ Win11,11th Gen Core i3,8GB,512GB SSD,Win11,,Acer Aspire Lite AL15-51 UN.431SI.252 Laptop,
763,MSI Stealth 15 A13VF-074IN Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph,13th Gen Core i7,16GB,1TB SSD,Win11 Home,8GB Graph,MSI Stealth 15 A13VF-074IN Gaming Laptop,
764,Infinix Zerobook 13 ZL513 Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win 11 Home),13th Gen Core i7/ 16GB/ 512GB SSD/ Win 11 Home,13th Gen Core i7,16GB,512GB SSD,Win 11 Home,,Infinix Zerobook 13 ZL513 Laptop,
765,HP Envy 15-fe0032TU Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11),13th Gen Core i7/ 16GB/ 1TB SSD/ Win11,13th Gen Core i7,16GB,1TB SSD,Win11,,HP Envy 15-fe0032TU Laptop,
766,Dell Inspiron 3535 Laptop (AMD Ryzen R5-7520U/ 8GB/ 512GB SSD/ Win11),AMD Ryzen R5-7520U/ 8GB/ 512GB SSD/ Win11,AMD Ryzen R5-7520U,8GB,512GB SSD,Win11,,Dell Inspiron 3535 Laptop,
767,HP 14-gr0000TU Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home,13th Gen Core i3,8GB,512GB SSD,Win11 Home,,HP 14-gr0000TU Laptop,
768,HP 15s-ey2001AU Laptop (AMD Ryzen 7 5700U/ 16GB/ 512GB SSD/ Win11 Home),AMD Ryzen 7 5700U/ 16GB/ 512GB SSD/ Win11 Home,AMD Ryzen 7 5700U,16GB,512GB SSD,Win11 Home,,HP 15s-ey2001AU Laptop,
769,HP 14-hr0001AU Laptop (AMD Ryzen 5 7520U/ 8GB/ 512GB SSD/ Win11 Home),AMD Ryzen 5 7520U/ 8GB/ 512GB SSD/ Win11 Home,AMD Ryzen 5 7520U,8GB,512GB SSD,Win11 Home,,HP 14-hr0001AU Laptop,
770,Lenovo Ideapad Flex 5i 14IAU7 82R70067IN Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home,12th Gen Core i3,8GB,512GB SSD,Win11 Home,,Lenovo Ideapad Flex 5i 14IAU7 82R70067IN Laptop,
771,HP Envy 15-fe0030TU Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),13th Gen Core i7/ 16GB/ 512GB SSD/ Win11,13th Gen Core i7,16GB,512GB SSD,Win11,,HP Envy 15-fe0030TU Laptop,
772,?HP Zbook Power G4-A 2023 ZHAN 99 Laptop (AMD Ryzen 5 6600H/ 16GB/ 1TB 512GB SSD/ Win11/ 4GB Graph),AMD Ryzen 5 6600H/ 16GB/ 1TB 512GB SSD/ Win11/ 4GB Graph,AMD Ryzen 5 6600H,16GB,1TB 512GB SSD,Win11,4GB Graph,?HP Zbook Power G4-A 2023 ZHAN 99 Laptop,
773,?HP Zbook Power G4-A ZHAN 99 2023 Laptop (AMD Ryzen 5 6600H/ 32GB/ 1TB SSD/ Win11/ 4GB Graph),AMD Ryzen 5 6600H/ 32GB/ 1TB SSD/ Win11/ 4GB Graph,AMD Ryzen 5 6600H,32GB,1TB SSD,Win11,4GB Graph,?HP Zbook Power G4-A ZHAN 99 2023 Laptop,
774,HP 14-hr0000AU Laptop (AMD Ryzen 5 7520U/ 16GB/ 512GB SSD/ Win11 Home),AMD Ryzen 5 7520U/ 16GB/ 512GB SSD/ Win11 Home,AMD Ryzen 5 7520U,16GB,512GB SSD,Win11 Home,,HP 14-hr0000AU Laptop,
775,Chuwi CoreBook X Laptop (10th Gen Core i3/ 8GB/ 512GB SSD/ Win11),10th Gen Core i3/ 8GB/ 512GB SSD/ Win11,10th Gen Core i3,8GB,512GB SSD,Win11,,Chuwi CoreBook X Laptop,
